date,price,quantity_sold,demand,day_of_week,promotion_flag
2022-01-01,3.29,114,122,Saturday,0
2022-01-01,3.06,125,130,Saturday,0
2022-01-01,4.27,126,132,Saturday,0
2022-01-01,4.49,112,127,Saturday,0
2022-01-01,2.54,109,127,Saturday,0
2022-01-01,3.86,111,126,Saturday,0
2022-01-01,4.17,121,134,Saturday,0
2022-01-01,2.88,121,131,Saturday,0
2022-01-01,3.31,181,189,Saturday,1
2022-01-01,2.82,124,127,Saturday,0
2022-01-01,4.9,112,131,Saturday,0
2022-01-01,2.53,122,123,Saturday,0
2022-01-01,4.03,129,131,Saturday,0
2022-01-01,5.41,123,125,Saturday,0
2022-01-01,5.24,125,132,Saturday,0
2022-01-01,2.38,169,190,Saturday,1
2022-01-01,3.34,119,123,Saturday,0
2022-01-01,3.6,112,126,Saturday,0
2022-01-01,3.66,184,200,Saturday,1
2022-01-01,4.73,114,129,Saturday,0
2022-01-01,3.13,120,133,Saturday,0
2022-01-01,4.59,119,131,Saturday,0
2022-01-01,3.5,126,132,Saturday,0
2022-01-01,4.59,115,129,Saturday,0
2022-01-01,4.32,127,128,Saturday,0
2022-01-01,3.98,122,128,Saturday,0
2022-01-01,3.13,132,138,Saturday,0
2022-01-01,3.52,125,134,Saturday,0
2022-01-01,4.53,136,136,Saturday,0
2022-01-01,3.12,125,131,Saturday,0
2022-01-01,5.4,133,134,Saturday,0
2022-01-01,4.9,115,125,Saturday,0
2022-01-01,5.1,122,130,Saturday,0
2022-01-01,2.84,132,133,Saturday,0
2022-01-01,5.3,108,119,Saturday,0
2022-01-01,5.3,131,137,Saturday,0
2022-01-01,2.96,110,119,Saturday,0
2022-01-01,2.93,113,131,Saturday,0
2022-01-01,3.91,183,201,Saturday,1
2022-01-01,3.3,125,136,Saturday,0
2022-01-01,4.84,135,138,Saturday,0
2022-01-01,3.49,126,129,Saturday,0
2022-01-01,3.14,189,195,Saturday,1
2022-01-01,3.91,117,124,Saturday,0
2022-01-01,3.61,118,126,Saturday,0
2022-01-01,3.46,170,197,Saturday,1
2022-01-01,4.69,116,126,Saturday,0
2022-01-01,4.75,125,134,Saturday,0
2022-01-01,4.29,123,126,Saturday,0
2022-01-01,3.32,175,201,Saturday,1
2022-01-02,5.17,122,126,Sunday,0
2022-01-02,4.83,138,139,Sunday,0
2022-01-02,4.74,122,136,Sunday,0
2022-01-02,5.07,115,126,Sunday,0
2022-01-02,4.09,118,126,Sunday,0
2022-01-02,2.72,168,196,Sunday,1
2022-01-02,4.17,130,136,Sunday,0
2022-01-02,4.81,117,133,Sunday,0
2022-01-02,4.52,133,136,Sunday,0
2022-01-02,5.05,116,126,Sunday,0
2022-01-02,2.67,118,133,Sunday,0
2022-01-02,2.78,184,197,Sunday,1
2022-01-02,4.19,120,125,Sunday,0
2022-01-02,4.14,123,127,Sunday,0
2022-01-02,2.63,111,126,Sunday,0
2022-01-02,4.52,128,138,Sunday,0
2022-01-02,4.78,123,135,Sunday,0
2022-01-02,4.74,127,140,Sunday,0
2022-01-02,4.72,118,124,Sunday,0
2022-01-02,3.43,122,133,Sunday,0
2022-01-02,2.58,124,137,Sunday,0
2022-01-02,5.25,104,122,Sunday,0
2022-01-02,2.87,176,195,Sunday,1
2022-01-02,3.41,132,135,Sunday,0
2022-01-02,2.94,117,129,Sunday,0
2022-01-02,4.04,121,134,Sunday,0
2022-01-02,5.07,118,124,Sunday,0
2022-01-02,2.74,113,125,Sunday,0
2022-01-02,4.39,171,192,Sunday,1
2022-01-02,3.86,170,196,Sunday,1
2022-01-02,2.97,119,133,Sunday,0
2022-01-02,3.94,119,127,Sunday,0
2022-01-02,2.89,121,137,Sunday,0
2022-01-02,5.48,118,131,Sunday,0
2022-01-02,3.26,184,187,Sunday,1
2022-01-02,2.93,122,135,Sunday,0
2022-01-02,4.78,114,130,Sunday,0
2022-01-02,4.62,124,139,Sunday,0
2022-01-02,3.43,128,133,Sunday,0
2022-01-02,3.85,128,135,Sunday,0
2022-01-02,2.87,121,134,Sunday,0
2022-01-02,4.07,175,195,Sunday,1
2022-01-02,3.13,120,126,Sunday,0
2022-01-02,2.84,132,135,Sunday,0
2022-01-02,4.55,117,132,Sunday,0
2022-01-02,4.73,120,135,Sunday,0
2022-01-02,3.78,124,127,Sunday,0
2022-01-02,3.14,125,129,Sunday,0
2022-01-02,3.95,126,133,Sunday,0
2022-01-02,4.54,123,129,Sunday,0
2022-01-03,3.22,140,158,Monday,1
2022-01-03,4.34,133,149,Monday,1
2022-01-03,3.57,100,105,Monday,0
2022-01-03,3.15,91,98,Monday,0
2022-01-03,2.87,101,104,Monday,0
2022-01-03,5.18,102,106,Monday,0
2022-01-03,3.52,100,105,Monday,0
2022-01-03,4.38,144,153,Monday,1
2022-01-03,4.06,90,97,Monday,0
2022-01-03,2.74,91,103,Monday,0
2022-01-03,3.34,91,100,Monday,0
2022-01-03,2.94,139,153,Monday,1
2022-01-03,3.57,103,105,Monday,0
2022-01-03,3.42,140,146,Monday,1
2022-01-03,4.22,106,108,Monday,0
2022-01-03,4.56,86,98,Monday,0
2022-01-03,4.58,100,101,Monday,0
2022-01-03,5.37,88,91,Monday,0
2022-01-03,3.16,95,106,Monday,0
2022-01-03,3.44,90,98,Monday,0
2022-01-03,4.81,95,97,Monday,0
2022-01-03,4.45,102,104,Monday,0
2022-01-03,3.27,86,99,Monday,0
2022-01-03,2.68,146,153,Monday,1
2022-01-03,2.6,87,98,Monday,0
2022-01-03,2.88,86,95,Monday,0
2022-01-03,4.07,97,102,Monday,0
2022-01-03,2.27,146,155,Monday,1
2022-01-03,3.78,90,99,Monday,0
2022-01-03,4.41,90,95,Monday,0
2022-01-03,2.91,104,107,Monday,0
2022-01-03,4.15,104,108,Monday,0
